fraza;odpowiedŸ
no obraŸ siê jeszcze;3
korba bokiem mi posz³a;6
jesteœ grubas;3
grubas;3
olewamy wyk³ad?;1
jutro na wyk³ad idziemy;2
wywali³am siê;0
404 i tyle;0
czym jest linijka 53 w 20 linijkowym kodzie?;1
check mi siê œwieci;6
nie ide;5
zaraz wyjdê z siebie i stanê obok;4
i dupa, nie dzia³a;0
niestety nie;4
No... Zapomnia³;5
Hmmm... W sumie ma to sens?;1
Pewnie ukrad³aœ xD;3
To w³aœnie nie dzia³a;3
Nawet siê nie pyta³ xD;0
W sumie... To nie a¿ tak Ÿle;6
mamy misjê, ogarniaj lawetê;4
Fabu³a fabu³uje xD;0
Dzisiaj siê dowiedzia³em, ¿e mamy projekt z IO;2
ale bym Ciê wytita³a;5
No i jak piach w oko.... Plik z diagramem z In¿ynierii mi siê wywali³, i po diagramie xD;6
Ojcu wypad³ cylinder;6
Nie... Po prostu mi siê te serwery wysypywa³y;6
I przygotuj siê, ¿e czasami trzeba bêdzie przeinstalowaæ serwer xD;5
to wróci³o!!;2
Mam pomys³…;5
Tak¿e ¿adna L ciebie nie zabije xD;5
Ponaklejac im odwaznikow na jedna felge z przodu;4
Tego bym nie zrywal nawet;0
Co ja k³amie?;4
otwiera³eœ piwo znakiem?;1
Wiedzia³em ¿e na tym siê skoñczy XD;0
Znam 5 grubych osób Rudy jest czterema z nich;4
"Spanko mam ;c";2
Mrugnij 2 razy jeœli trzymaj¹ cie tam si³¹;5
Ka¿dy pe³ni jak¹œ rolê w stadzie On jest alkoholikiem;1
Wpisaæ sobie w kalendarz „nie ma chlania, jest kle kle kle”;2
20 bucks is 20 bucks;6
Madzia szykuj krzes³a na stacji xD;2
Oprócz Madzi ofc, masz kochanka i bankomat;3
ALE TY NIE MASZ SIÊ CZEGO WSTYDZIÆ;2
Czy nier zrobiæ Pseudointrygi;4
Ja s¹dzê ¿e to jab³ko cie pods³uchuje;3
To by³o jako przeœmiewcze nooooo;3
To bêdzie ¿e jest kastrat;4
No jakaœ meska solidarnoœæ istnieje;5
Bo i ja rykoszetem oberwê;6
Mo¿e mu wylecia³o z g³owy;3
Nie to ¿e Ÿle prze¿ywaæ;2
a jest taka sama sytuacja jak miesi¹c temu;5
Tyle w temacie;3
Ty to se babê znajdŸ bo za du¿o z tymi ch³opami masz ekscesów;5
Ty to masz tych adoratorów;2
Dobra, Wracaj¹c, Gdzie te g³osówki?;4
Kombinuj;5
A mi zaraz nogi odpadn¹;6
Nie Wrzeszcz bo szyby popêkaj¹;6
Ja po weekendzie ty plus adi mia³em te¿ was dosyæ;5
A TY SPAÆ!;5
Ale byœmy nie mieli na co marudziæ;5
A po drugie tak to nie dzia³a;5
Nie drzyj siê to raz;5
ZDECYDUJ SIÊ KOBIETO;4
Ja bym siê chyba zastrzeli³;2
Ja znam rudego co ¿artujê o rudych;0
I ewentualnie zakneblowac;5
"""uwaga maruda napisa³a""";2
IdŸ do k¹ta i Przemyœl swoje zachowanie;2
Barman w miejscu gdzie bywasz raczej rzadko cie poznaje po samym œmiechu;0
Chocia¿ raz nie zawsze poczuje siê narcystycznie;0
Ego Ci podskoczy;3
Nie wiem czy Ci mogê powiedzieæ;2
Nigdzie w³aœnie;2
Od dupy strony;5
Nie narzekaj;5
Uwierzê jak bêdzie choæ siê na to zanosiæ;2
Zmieñ te tablice....;3
Mam po prostu za du¿o wiary w ludzi;2
dla fabu³y;0
a w czapê chcesz?;3
Jak chcesz to potrafisz;3
Pachnie jak fio³ek;0
Dzwoniê do twojejmamy;2
Ale co siê nasmialem to moje;0
Mam nadziejê ¿e nie wyczerpiesz tego zaufania;3
To by³ mój najgorszy przejazd jaki mia³em;6
to s³abo ten twoj program dzia³a;3
targaj wora stara szkapo;6
PRZESTAN BYC ZACOFANA;6
dzwonie na policje;4
zazdroscisz mi po prostu;3
Nie namawiaj mnie do z³ego tyyyyy ty ty;6
Dobra myœla³em ¿e mnie nie zaskoczysz, By³em naiwny;0
to w takim razie mówiê szczerze, ¿e ta konstrukcja klas wygl¹da jak kupa wrzucona w wentylator xD;0
ale masz w ³eb generalnie, bo siê nie pochwali³aœ swoim rozwi¹zaniem;2
nie ma letko, zapierdzielaj z robot¹!;2
